File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
D05,FAM,Unkn-04,4,36.38678654,1363.798495,36.07146509,0.44593187,528.7485194,
D06,FAM,Unkn-12,12,31.04849484,55186.21976,31.05296876,0.006327072,241.2894204,
D07,FAM,Unkn-12,12,31.05744268,54844.98499,31.05296876,0.006327072,241.2894204,
D08,FAM,Unkn-20,20,NaN,NaN,0,0,0,
D09,FAM,Unkn-20,20,NaN,NaN,0,0,0,
D10,FAM,Unkn-28,28,31.88232487,30960.50482,31.84527048,0.052402823,1154.028706,
D11,FAM,Unkn-28,28,31.80821609,32592.54787,31.84527048,0.052402823,1154.028706,
E01,FAM,Std-05,5,32.1389962,100000,31.84944493,0.408537997,0,
E02,FAM,Std-05,5,31.3821428,100000,31.84944493,0.408537997,0,
E03,FAM,Std-05,5,32.02719578,100000,31.84944493,0.408537997,0,
E04,FAM,Unkn-05,5,29.68254825,142247.8553,29.68582927,0.004640059,456.4917126,
E05,FAM,Unkn-05,5,29.68911029,141602.2786,29.68582927,0.004640059,456.4917126,
E06,FAM,Unkn-13,13,34.12297221,6550.377134,34.06410643,0.083248775,393.8556478,
E07,FAM,Unkn-13,13,34.00524066,7107.373132,34.06410643,0.083248775,393.8556478,
E08,FAM,Unkn-21,21,31.18714317,50129.21317,31.28038767,0.131867646,4298.445844,
E09,FAM,Unkn-21,21,31.37363218,44050.29276,31.28038767,0.131867646,4298.445844,
E10,FAM,Unkn-29,29,33.28404631,11717.17772,33.31412589,0.04253895,338.4050742,
E11,FAM,Unkn-29,29,33.34420547,11238.60068,33.31412589,0.04253895,338.4050742,
F01,FAM,Std-06,6,24.60603582,1000000,24.55633569,0.081727805,0,
F02,FAM,Std-06,6,24.46201004,1000000,24.55633569,0.081727805,0,
F03,FAM,Std-06,6,24.60096122,1000000,24.55633569,0.081727805,0,
F04,FAM,Unkn-06,6,33.55309241,9723.604996,33.46274767,0.127766751,917.4408709,
F05,FAM,Unkn-06,6,33.37240294,11021.06232,33.46274767,0.127766751,917.4408709,
F06,FAM,Unkn-14,14,NaN,NaN,0,0,0,
F07,FAM,Unkn-14,14,NaN,NaN,0,0,0,
F08,FAM,Unkn-23,23,37.63433028,574.3545023,37.75317248,0.168068249,61.69225536,
F09,FAM,Unkn-22,22,33.00196609,14247.62966,33.06962992,0.095691101,902.0993333,
F10,FAM,Unkn-30,30,29.58519821,152178.302,29.54294534,0.059754574,6491.680163,
F11,FAM,Unkn-30,30,29.50069248,161358.9241,29.54294534,0.059754574,6491.680163,
G01,FAM,Std-07,7,24.69768928,10000000,24.54833295,0.174384117,0,
G02,FAM,Std-07,7,24.35669609,10000000,24.54833295,0.174384117,0,
G03,FAM,Std-07,7,24.59061346,10000000,24.54833295,0.174384117,0,
G04,FAM,Unkn-07,7,34.85372081,3947.081726,34.98518669,0.18592083,465.0274878,
G05,FAM,Unkn-07,7,35.11665257,3289.433546,34.98518669,0.18592083,465.0274878,
G06,FAM,Unkn-15,15,33.28593815,11701.82189,33.24316386,0.060491986,505.5255018,
G07,FAM,Unkn-15,15,33.20038956,12416.74291,33.24316386,0.060491986,505.5255018,
G08,FAM,Unkn-22,22,33.13729375,12971.86855,33.06962992,0.095691101,902.0993333,
G09,FAM,Unkn-23,23,37.87201468,487.1084781,37.75317248,0.168068249,61.69225536,
H01,FAM,Std-08,8,18.84700057,100000000,19.28374059,0.381204491,0,
H02,FAM,Std-08,8,19.54965515,100000000,19.28374059,0.381204491,0,
H03,FAM,Std-08,8,19.45456604,100000000,19.28374059,0.381204491,0,
H04,FAM,Unkn-08,8,34.29961946,5795.448565,34.2909662,0.012237561,49.4584578,
H05,FAM,Unkn-08,8,34.28231294,5865.393387,34.2909662,0.012237561,49.4584578,
H06,FAM,Unkn-16,16,33.69185246,8831.895337,33.38846302,0.429057463,3265.515399,
H07,FAM,Unkn-16,16,33.08507358,13450.0315,33.38846302,0.429057463,3265.515399,
H08,FAM,Unkn-24,24,29.45434381,166627.2975,29.42715924,0.038444786,4525.266464,
H09,FAM,Unkn-24,24,29.39997467,173026.9907,29.42715924,0.038444786,4525.266464,
A01,HEX,Std-01,1,37.56222556,10,37.56222556,0,0,
A02,HEX,Std-01,1,NaN,10,0,0,0,
A03,HEX,Std-01,1,NaN,10,0,0,0,
A04,HEX,Unkn-01,1,NaN,NaN,0,0,0,
A05,HEX,Unkn-01,1,NaN,NaN,0,0,0,
A06,HEX,Unkn-09,9,NaN,NaN,0,0,0,
A07,HEX,Unkn-09,9,38.56347576,16.56751173,38.56347576,0,0,
A08,HEX,Unkn-17,17,NaN,NaN,0,0,0,
A09,HEX,Unkn-17,17,NaN,NaN,0,0,0,
A10,HEX,Unkn-25,25,NaN,NaN,0,0,0,
A11,HEX,Unkn-25,25,NaN,NaN,0,0,0,
A12,HEX,NTC-01,1,NaN,NaN,0,0,0,
B01,HEX,Std-02,2,34.76681567,100,35.49168044,1.070615876,0,
B02,HEX,Std-02,2,36.72137671,100,35.49168044,1.070615876,0,
B03,HEX,Std-02,2,34.98684893,100,35.49168044,1.070615876,0,
B04,HEX,Unkn-02,2,NaN,NaN,0,0,0,
B05,HEX,Unkn-02,2,NaN,NaN,0,0,0,
B06,HEX,Unkn-10,10,NaN,NaN,0,0,0,
B07,HEX,Unkn-10,10,NaN,NaN,0,0,0,
B08,HEX,Unkn-18,18,NaN,NaN,0,0,0,
B09,HEX,Unkn-18,18,NaN,NaN,0,0,0,
B10,HEX,Unkn-26,26,NaN,NaN,0,0,0,
B11,HEX,Unkn-26,26,NaN,NaN,0,0,0,
B12,HEX,NTC-02,2,NaN,NaN,0,0,0,
C01,HEX,Std-03,3,31.95196504,1000,32.04063637,0.315168106,0,
