"data_all.lab_id","data_all.date_collected","data_all.site","data_all.rftm_intensity_read1","data_all.rftm_intensity_read2","data_all.results"
"1125FENC_29",2025-11-12,"FENC",0.5,0.5,"TRUE"
"1224ASHC_01",2024-12-09,"ASHC",1,1,"TRUE"
"1224ASHC_02",2024-12-09,"ASHC",0.5,0.5,"TRUE"
"1224ASHC_08",2024-12-09,"ASHC",0,0,"TRUE"
"1224FENC_01",2024-12-10,"FENC",0.5,0.5,"TRUE"
"1224FENC_02",2024-12-10,"FENC",0,0.5,"FALSE"
"1224FENC_21",2024-12-10,"FENC",3,3,"TRUE"
"1225ASHC_01",2025-12-09,"ASHC",0.5,0.5,"TRUE"
"1225ASHC_02",2025-12-09,"ASHC",0,0,"TRUE"
"1225ASHC_05",2025-12-09,"ASHC",1,1,"TRUE"
"1225FENC_11",2025-12-11,"FENC",3,3,"TRUE"
"1225FENC_12",2025-12-11,"FENC",0.5,0.5,"TRUE"
"1225FENC_15",2025-12-11,"FENC",0.5,0.5,"TRUE"
"1225GOLD_03",2025-12-08,"GOLD",1,1,"TRUE"
"1225GOLD_04",2025-12-08,"GOLD",1,2,"FALSE"
