"data_all.Sample_ID","data_all.Date_collected","data_all.Site","data_all.Sex1","data_all.Stage1","data_all.Sex2","data_all.Stage2","data_all.sex_results","data_all.score_results"
"0523ASHC_10",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_11",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_12",2023-05-10,"ASHC","Male","3_Early_Active",NA,NA,NA,NA
"0523ASHC_13",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_14",2023-05-10,"ASHC","Male","4_Late_Mature",NA,NA,NA,NA
"0523ASHC_15",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_16",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_17",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_18",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_19",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_20",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0523ASHC_21",2023-05-10,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
